lugares_id:int,lugares_name:str
1,Canalave City
2,Eterna City
3,Pastoria City
4,Sunyshore City
5,Pokémon League
6,Oreburgh Mine
7,Valley Windworks
8,Eterna Forest
9,Fuego Ironworks
10,Mt. Coronet
11,Great Marsh
12,Solaceon Ruins
13,Victory Road
14,Ravaged Path
15,Oreburgh Gate
16,Stark Mountain
17,Spring Path
18,Turnback Cave
19,Snowpoint Temple
20,Wayward Cave
22,Ruin Maniac Cave
23,Trophy Garden
24,Iron Island
25,Old Chateau
26,Lake Verity
27,Lake Valor
28,Lake Acuity
29,Valor Lakefront
30,Acuity Lakefront
31,Route 201
32,Route 202
33,Route 203
34,Route 204
35,Route 205
36,Route 206
37,Route 207
38,Route 208
39,Route 209
40,Lost Tower
41,Route 210
42,Route 211
43,Route 212
44,Route 213
45,Route 214
46,Route 215
47,Route 216
48,Route 217
49,Route 218
50,Route 219
51,Route 221
52,Route 222
53,Route 224
54,Route 225
55,Route 227
56,Route 228
57,Route 229
58,Twinleaf Town
59,Celestic Town
60,Resort Area
61,Sea Route 220
62,Sea Route 223
63,Sea Route 226
64,Sea Route 230
65,Blackthorn City
66,Burned Tower
67,Celadon City
68,Cerulean City
69,Cherrygrove City
70,Cianwood City
71,Cinnabar Island
72,Dark Cave
73,Diglett's Cave
74,Dragon's Den
75,Ecruteak City
76,Fuchsia City
77,Ice Path
78,Ilex Forest
79,Lake of Rage
80,Mt. Moon
81,Mt. Mortar
82,Mt. Silver
83,National Park
84,New Bark Town
85,Olivine City
86,Pallet Town
87,Rock Tunnel
88,Route 1
89,Route 10
90,Route 11
91,Route 12
92,Route 13
93,Route 14
94,Route 15
95,Route 16
96,Route 17
97,Route 18
98,Sea Route 19
99,Route 2
100,Sea Route 20
101,Sea Route 21
102,Route 22
103,Route 24
104,Route 25
105,Route 26
106,Route 27
107,Route 28
108,Route 29
109,Route 3
110,Route 30
111,Route 31
112,Route 32
113,Route 33
114,Route 34
115,Route 35
116,Route 36
117,Route 37
118,Route 38
119,Route 39
120,Route 4
121,Sea Route 40
122,Sea Route 41
123,Route 42
124,Route 43
125,Route 44
126,Route 45
127,Route 46
128,Route 47
129,Route 48
130,Route 5
131,Route 6
132,Route 7
133,Route 8
134,Route 9
135,Ruins of Alph
136,Seafoam Islands
137,Slowpoke Well
138,Sprout Tower
139,Bell Tower
140,Tohjo Falls
141,Union Cave
147,Cerulean Cave
148,Unknown; all Poliwag
149,Unknown; all Rattata
150,Unknown; all bugs
151,Vermilion City
152,Victory Road
153,Violet City
154,Viridian City
155,Viridian Forest
156,Whirl Islands
157,Route 23
158,Power Plant
159,Victory Road
160,Pokémon Tower
161,Pokémon Mansion
162,Safari Zone
163,Sandgem Town
164,Floaroma Town
165,Solaceon Town
167,Jubilife City
168,Oreburgh City
169,Hearthome City
170,Veilstone City
171,Snowpoint City
